audio_path,label
/sep28kE/test/sep28k_phn/rep/2.wav,AH N D Y UH R L IH S AH N IH NG T UW DH AH P AO [REP] D K AE S T
/sep28kE/test/sep28k_phn/rep/3.wav,HH AE [REP] V IH NG EH N IY IH M P AE K T AA N DH IH S M IY CH P R AH T AH K SH AH N S IH S T AH M
/sep28kE/test/sep28k_phn/rep/5.wav,S T AH [REP] T ER IH NG W IY D IH D F AY N
/sep28kE/test/sep28k_phn/rep/6.wav,B AH T HH IY M AY T P OW [REP] S T DH AH L AE K TH
/sep28kE/test/sep28k_phn/rep/7.wav,W IH [REP] DH IH N DH AH S P IY SH P R AH D AH K SH AH N Z
/sep28kE/test/sep28k_phn/rep/8.wav,IH [REP] Z AH M EY Z IH NG
/sep28kE/test/sep28k_phn/rep/9.wav,B AY L UH [REP] K IH NG HH AE T
/sep28kE/test/sep28k_phn/rep/10.wav,F R IY L IY AH V EY L AH B AH L AE Z AH D AW N [REP] L OW D AA N IH T UW N Z
/sep28kE/test/sep28k_phn/rep/11.wav,M AY N D IH N T R AH D UW S IH NG Y ER S EH L F T EH [REP] L IH NG AH S HH UW Y UW AA R
/sep28kE/test/sep28k_phn/rep/12.wav,R IH L IY HH [REP] AE P IY T UW HH AE V Y UW
/sep28kE/test/sep28k_phn/rep/13.wav,DH AH P AO D [REP] K AE S T K AE N B IY F AW N D
/sep28kE/test/sep28k_phn/rep/14.wav,IH T W AA Z IH G Z [REP] AA S T IH NG
/sep28kE/test/sep28k_phn/rep/16.wav,R UW M F AO R DH AH S T AH [REP] T ER IH NG
/sep28kE/test/sep28k_phn/rep/18.wav,AH N D IH T S AO L S OW F R IY [REP] L IY AH V EY L AH B AH L AE Z AH D AW N L OW D AA N
/sep28kE/test/sep28k_phn/rep/19.wav,AH B IH T M AO R AH D IH [REP] P AH K AH L T
/sep28kE/test/sep28k_phn/rep/20.wav,DH AH S T AH T ER IH NG W AA Z AH N T DH AH W EY DH AE T AY W [REP] AO N T IH D IH T
/sep28kE/test/sep28k_phn/rep/21.wav,AY S ER T AH N L IY K AE N AH N [REP] D ER S T AE N D
/sep28kE/test/sep28k_phn/rep/22.wav,M OW S T AH DH ER Y UW [REP] N AH V ER S AH T IY Z
/sep28kE/test/sep28k_phn/rep/23.wav,AH N D IH T S AO L S OW F R IY L IY D AW N [REP] L OW D AH B AH L AA N IH T UW N Z
/sep28kE/test/sep28k_phn/rep/24.wav,M EY K R UW M F AO R DH AH S T AH [REP] T ER IH NG
/sep28kE/test/sep28k_phn/rep/25.wav,HH IH Z G OW IH NG T UW SH EH R P AA R T S [REP] AH V HH IH Z S T AO R IY Z
